,text
10,Dead Famous 
11,生命不可承受之绚烂
12,6
13,男女外遇
14,款
15,春夏手袋
16,wn不同
17,为什么要美白
18,蓝正龙:
19,双好鞋比
20,我不是翻版金城武
21,性更持久
22,新男人手册
23,效率OL
24,一天
25,Metrosexual 
26,美丽计划
27,004
28,ISSN 1005-1988 
29,15N10-1(际标准号内一号0
30,30
0,MAY 2004 
1,本利与美
2,( 
3,合作
4,5月号邮发代号461
5,《性与城市》
6,大结局
7,李文我和
8,独报
9,李敖一起骂
10,化妆业界并购
11,降价大揭密
12,许纯美事件透视
13,上流下流不入流
14,艳面不俗
15,春夏美容
16,实用手册
17,穿桃色
18,大性感彩妆潮流
19,自己打造CLUB
20,必知的美肤基本点
21,你是他的隐形女友吗
22,个美丽难言之隐
23,别让蠢货吻到你
24,个防晒必知
25,15N1005-19
26,9F1080
27,5N10056标标准号国内一号定价20元
28,28
0,JUNE 2004 
1,COSMOPOLITAN 》
2,6月号邮发46-19
3,《时尚》奥运希腊行
4,梦回雅典
5,名人、名牌、名利场
6,谁坐在时装秀第一排
7,全莉:从优雅使
8,到丛林女王
9,化妆品投资指南
10,众人面前不怯场
11,你该在
12,脸上
13,孕美人
14,花多少钱
15,Ir .Right 
16,孕期美容品全搜索
17,时尚杂志2004年第06期总第182期
18,摩登孕美人着装指南
19,还是
20,iss1005-1988
21,时尚星妈HOLLYWOOD 版
22,Mr .Ok
23,9771005198009
24,1005-1988(国际标准刊号)CN11-33尚
25,25
0,時
1,JULY 2004 
2,尚
3,丰与
4,( 
5,脂权作
6,精灵王子
7,7月号邮发代号:46-199
8,奥兰多·布鲁姆
9,欧美最N约会来中国
10,8
11,分钟
12,快餐约会
13,能否在外干到退休
14,好莱坞女丰唇揭秘
15,在爱里接纳不公平
16,50
17,服装专辑
18,盛夏美容
19,夏穿薄纱
20,关键词
21,安全透露
22,防晒眼霜
23,热辣泳装
24,大搜索
25,失败
26,时尚杂志200年期期
27,155N1005-19
28,购物清单
29,97100318009
30,s100-19国际标准号(国内一号价20元
31,31
0,時C
1,TAN 
2,AUGUST 2004 
3,本书与美国
4,尚
5,( COSMOPOLITAN
6,压合作
7,章子怡
8,8月号邮发代号:46-199
9,野蛮青春
10,2004秋冬流行发布
11,时间打不败的美丽
12,时尚
13,校花的昨天与今天
14,奥运会
15,专册
16,MeProgram 
17,哈佛猎夫计划
18,印度瑜伽之旅
19,元斌
20,霸道的温柔
21,Cosmo 
22,8月8种最N
23,105个
24,穿衣方案
25,男人的秘密
26,时尚杂志2004年第08期总量186期
27,iss1005-1988
28,睡姿识男友
29,9771005198009
30,@际标准刊号)C1137(国内统一刊号)定价20元
31,31
0,時
1,SEPTEMBER 2004 
2,尚
3,本刊美
4,质合作
5,时尚新娘
6,月号邮发代号46-199
7,职场特别策划
8,25
9,如果我
10,蜘蛛侠的
11,岁就知道
12,女神
13,克尔斯滕·邓斯特
14,厉馥华我不是
15,谁的花儿
16,黄秋生
17,和爱情一起长大
18,半是魔鬼
19,另一半是什么
20,男人是衣裳
21,秋冬性感22式
22,你的皮肤
23,新派硬朗商务装
24,时装精彩偶像不再
25,过度
26,出204年重期
27,保养了吗
28,15510019
29,40个美丽守恒法则
30,100准号(国内一号定价20元
31,31
0,CO
1,NOVEMBER 2005 
2,文
3,不爱要么
4,11月号邮发代号46-1
5,你是男人的
6,奢侈品or日用品?
7,陈文茜:
8,李敖都怕的女人
9,8
10,招
11,苏菲·玛索
12,我从未想过
13,时装性感加分方案
14,嫁入豪门
15,4位美容业内人士解密
16,职场PK
17,化妆品
18,你能幸存吗?
19,升级真相
20,我只要小V脸
21,Less Vs .More 
22,用出轨报复出轨?
23,独家专访好莱情感专家Dr .
24,生活是混搭的
25,伊甸园
26,0(m号a(内一)价￥
27,27
0,FCOS 
1,DECEMBER 200 
2,红
3,这个圣
4,2月号起发代号
5,我要闪亮
6,陶晶莹:
7,如钻石
8,我把自己嫁出去了!
9,帕丽丝·希尔
10,中产男人不离婚
11,大众情欲安慰剂
12,当鸵鸟女人
13,谢霆
14,高贵的邪
15,能获得幸福吗?
16,坦荡的阴
17,Annual Party 
18,打造一张
19,20个出彩方案
20,对称脸
21,寻找你的性感体重
22,COSMO 权威预测
23,只有不合适的衣服
24,没有不适合的风格
25,2006
26,155100
27,最值得期待的事
28,28
0,時
1,COS 
2,FEBRUARY 2005 
3,尚
4,本与美国
5,权合作
6,封面女郎
7,名模林志玲
8,2月号邮发代号:46-199
9,情人节特别策划
10,从台湾
11,坚决和陌生人
12,暴红到
13,一京沪最新约会方式大
14,亚洲
15,张艾嘉别信
16,2005春夏
17,一夜长大的神话
18,时装流行
19,捅破天花板
20,速递
21,穿得像他
22,扔掉水晶鞋
23,眼中的明星
24,余文乐:打上黑帮LOGO
25,化妆品:
26,身体的经纬
27,极简派
28,着装法则
29,极繁派
30,时尚杂志2005年期总第1961
31,ISSN1005-1988
32,哪种妆容男人最爱?
33,9771003198009
34,@封面小主国3327
35,35
0,時C
1,2003 
2,重
3,尚
4,刘德华前女友
5,月号年现代号1
6,喻可欣
7,度假时尚
8,爱情就是
9,想不开
10,新动力
11,什么在伤害
12,要男人的真心
13,你的肌肤
14,还是现金?
15,度过职场失宠期
16,不脱妆的
17,秘密
18,60
19,款春夏
20,亮身体的
21,热门鞋
22,"高调白色,衣橱新宠"
23,女人要试试耍大牌
24,像爱奢侈品
25,11
26,一样爱自己
27,27
0,C0
1,LITAN 
2,AUGUST 2005 
3,本
4,尚
5,作
6,李嘉欣
7,8月号邮发代号:46-199
8,不仅仅是
9,恶魔秀场的
10,美女
11,主人们
12,胸部加减法
13,2005秋冬流行趋势
14,穿香水如
15,懦弱比大胆
16,穿名牌
17,更危险
18,全球COSMO 美丽观点
19,女人最爱的
20,爱情履历表
21,不同版本给不同男人
22,走光也要走得漂亮
23,杂志200年期第2
24,155N1001
25,8
26,8N100196(列号
27,時尚
28,97100519809
29,c-(国内统一号定价:￥20HK30
30,30
0,時C
1,LTAN 
2,SEPTEMBER 2005 
3,与
4,版合作
5,9月号邮发代号:46-199
6,梦幻精灵
7,因实力面美丽
8,摇滚心
9,因实力而快乐
10,中医美容
11,郭晶晶羔羊的沉默
12,又流行
13,15计
14,时尚杂志
15,热门看点
16,秋冬衣橱升级
17,快速“长发秘诀
18,I Can't Live Without 
19,订制你的
20,明星们离不开的美容品
21,出轨or卧轨
22,奢侈度假
23,女子无财便是德?
24,ove 
25,时尚杂志2005年期总第2
26,ss100-1988
27,Vacation 
28,时尚
29,号
30,30
0,COS 
1,便携本优惠价
2,15
3,OCTOBER 2006 
4,本刊与美国
5,《COSMOPOLITAN 》
6,版权合作
7,莎莎·彼伏瓦洛娃
8,1月
9,成为魔鬼代言人
10,的天使
11,为肌肤储备
12,迈阿密风云》导演迈克尔·曼
13,未来10年
14,我只等待
15,巩俐
16,新社交
17,High-Life Club 
18,《夜宴》叶锦添
19,谁会爱上无情性?
20,点石
21,成美女
22,风衣风韵
23,20
24,款应季
25,搭配
26,in Cosmo 
27,堕落成瘾
28,Artpiece 
29,拯救Kate Moss 
30,女人是最时尚
31,时尚杂志2006年第14期总第237其
32,IsN1005-1988
33,14>
34,的艺术品
35,9771005198009
36,n-33GO统号定价:￥20hs3
37,37
0,COS 
1,LTAN 
2,NOVEMBER 2006 
3,与美国
4,权作
5,201
6,个明星
7,美容秘
8,11月号邮发代号:46-19
9,时尚创意人点
10,追逐流氓外教
11,嫁老外
12,想象的世界
13,不是平的
14,也要嫁好的
15,小S婚后独家告
16,形幸福曲线
17,品牌血统战
18,贾樟柯
19,影好人
20,15
21,冬级
22,瘟毛
23,庾澄庆
24,毛衫
25,爱情需要永久保鲜
26,奢华粉底:
27,肌肤高级成衣
28,for 
29,EMC秘书门事件透析
30,职场进退术
31,U放皮草
32,时尚2006年第6期总2
33,issN1005-1988
34,16
35,一条轻松路
36,0号(国内统一号定价:￥20Ks30
37,37
0,TAN 
1,DECEMBER 2006 
2,本国
3,雪作
4,张曼玉
5,高贵的寂寞
6,《喜福会恩美
7,女人要有
8,美版《无间道》
9,自己的故事
10,美容风
11,S-件废
12,冬日秘密
13,化妆品信任危机
14,瘦身计
15,围一城好男人
16,5装着
17,奢侈无罪便宜有理
18,COSMO3R 
19,年度勇气大奖
20,时尚志200年第期2期
21,谁是2006最有勇气的人?
22,1N1005-188
23,97718
24,0-em际标准刊号-国内一刊号定价￥20s3o
25,25
0,ITAN 
1,JANUARY 
2,谁动了
3,1月号邮发代号46-199
4,你的
5,力
6,《无极》式爱情
7,张柏芝vs张东健
8,16个
9,倾城无爱?
10,彩妆
11,整形术
12,男人的肩膀
13,怎么踩
14,夏衣冬穿
15,10妙招
16,聪明吃糖
17,把黑色穿出色
18,ONLY IN COSMO 
19,野心男人
20,你的本
21,精英还是垃圾
22,时尚杂志2006年期总
23,IssN1005-1988
24,25、3035
25,你做主
26,女人资本全解析
27,ss1(国际标准刊号1(国内统一刊号宽￥20K30
28,28
0,COS 
1,FEBRUARY 2006 
2,本刊与美国
3,[ 
4,权作
5,情大
6,月号代
7,等你
8,ONLY IN COSMO 
9,欢迎来到
10,圣裴勇俊
11,你不可以属于
12,“剩女”时代
13,别的人
14,好色的男人要不要
15,向明星学妆”嫩
16,发型改变
17,个时尚链接
18,为什么失败?
19,《艺伎回忆录》
20,、胡军:
21,这个情人节
22,信从内衣开始
23,他们相信婚姻
24,打造高质量社交圈
25,绝望鞋形点燃热望
26,206
27,时尚2000年0期第21期
28,I5N100198
29,春夏流行发布
30,971003800
31,国际号)n(国统一号)宽价￥20K30
32,32
0,時
1,JTAN 
2,MARCH 2006 
3,本
4,舒淇
5,颠倒众生
6,3月号邮发代号:46-199
7,百不侵
8,敢爱也要会分手
9,春夏流
10,民
11,玩场
12,20场建议
13,爱情游戏
14,爱上时装
15,3大热
16,爱上伪装
17,营品
18,快乐心灵拯救计划
19,解密
20,个馒头引发的时尚热门看点
21,精华素
22,娱乐至死
23,谁先死
24,OL的钱商全攻略
25,时尚宠儿走红路线
26,乖女孩能得到
27,时杂204期
28,151005-19
29,办公室
30,97
31,价230
32,32
0,NLTAN 
1,APRIL 2006 
2,本列海
3,4月
4,河莉秀
5,如果上帝
6,高怡平
7,犯了错
8,婚后独家告白:
9,美丽的天敌是愚蠢
10,李安
11,每个人心中都有
12,50
13,件
14,一座断背山
15,配饰
16,除
17,金属色、海军Look
18,黑与白、自然风貌
19,8大护肤
20,印花罗曼史
21,迷信
22,情场跳槽
23,美容手术
24,何时该换个男人?
25,惊人真相
26,追踪100个单身男人等你的
27,他们都约会了谁
28,割爱可以更幸福
29,世祖
30,时尚志200年第04期第2期
31,155N10019
32,ueers 
33,食利阶层、公主身份、自由女神?
34,1号)定价￥20hks3
35,35
0,COS 
1,C
2,MAY 2006 
3,版权作
4,中课3
5,人人都想成为
6,5月号邮发代号:46-109
7,美女美食家谈食色性
8,除了我自己
9,味蕾离性感
10,有多远?
11,人女
12,皮肤的未来
13,可以储蓄吗?
14,10
15,裤套装
16,《越狱》《迷失》
17,升级方案
18,美国电视剧帅哥
19,Freedom leads fashion 
20,30款
21,自由引导时尚
22,新防晒
23,职场路径:向上r向深
24,华办公
25,灵动
26,时尚杂志2006年0期第22期
27,ss1005-1988
28,全面迈进时尚夏天
29,0标准刊号c-3(国内一刊号定价:￥20HK30
30,30
0,COS 
1,時C
2,20
3,尚
4,有型男特别策划
5,6月号邮发代号4619
6,国脚帅哥
7,解密
8,崔智友
9,时尚大秀
10,女人痴情是
11,愚蠢的
12,向职场对手学什么
13,360美女
14,和珠宝
15,新维多利亚时装
16,起长大
17,男人是我们的
18,Aquatic 
19,二线品牌
20,Summer 
21,1个越减越肥
22,的陷阱
23,水润一夏
24,0期20期
25,1N1005-18
26,有补水才能控油+打造水润妆容
27,0
28,嗜喱护肤品全搜索+防晒的秀发才水亮
29,-一号定价:￥20hks3o
30,30
0,時
1,COS 
2,JULY 2006 
3,韩国花样美男
4,7月号邮发代号:46-199
5,ain玄彬SE7EN
6,权相字李俊基
7,小S产后复出
8,愈成熟愈清纯
9,爱情与
10,愈性感?
11,进化论无关
12,夏日极致美腿计
13,COSMO 专访
14,全球最红
15,cquaire 
16,时装造型师
17,Taste 
18,Patricia field 
19,品位是学来的
20,日系美妆风
21,J .
22,FASHIONSPECAIL 
23,用和爱征服世界
24,穆特:我的身体里
25,Swmwea 
26,有台法拉利
27,装热款时髦沙滩装
28,"身材vs泳装,增强你的泳装自信"
29,时尚期
30,s1005-1988
31,夏日泳装终极攻略
32,m际标准列号-0(国内一号定价:￥20s30
33,33
0,JTAN 
1,AUGUST 2006 
2,尚
3,( COSMOPOLITAN
4,06秋冬流行
5,趋势发布
6,纪念刊特别策划
7,8月号邮发代号:46-19
8,吴彦祖黄晓明
9,穿出时装能量
10,男色夜
11,一次出轨
12,美妆甜品
13,终身出轨?
14,20热夏凉衫
15,osmo 
16,赵薇
17,纪念刊特别策划
18,全球连线:
19,个人的
20,迟婚不迟爱
21,战役
22,纪念刊特别策划
23,大品牌为什么大
24,世界最性感海滩
25,reative 
26,护品使用
27,ollecuon 
28,顺序全纠错
29,15位时尚创意人激情呈现
30,时尚杂志2006年第12期总第234
31,IssN1005-1988
32,4活是场创意狂欢
33,9771005198009
34,100-18国际标准刊号)C-337G@时尚
35,35
0,SEPTEMBER 2006 
1,合作
2,第01个电话
3,张柏芝
4,睁一眼闭一眼
5,9月号邮发代号:46199
6,瞄准真爱
7,要不要到
8,05秋冬发型
9,国外生孩子
10,流行全公告
11,减肥药?毒药
12,Skin 安然度秋
13,吴宗宪蔡康永
14,奢侈智慧
15,黄安、黄子佼
16,四名嘴
17,点亮个人品牌
18,谈情说爱
19,20
20,款初秋至in
21,时装搭配
22,夹克、长裤迷你裙
23,个卡
24,Only in Cosmo 
25,智慧让男人留下
26,牛仔裤能量最大化
27,野心是女人
28,时尚期总第2期
29,11005-1988
30,的营养品
31,97710019800
32,00内号价20H
33,33
0,TAN 
1,TOBER 2007 
2,权会作
3,帕丽斯·希尔顿
4,人生是蓄谋
5,的“丑闻
6,1月号品
7,张艺谋班底
8,奥运铁三角
9,封面人物独爱情曝光
10,姜文周韵
11,爱情照样升起
12,非常高薪
13,害苦多少职场人
14,男人在床上怕什么?
15,Color hic 
16,好色秋
17,早一天抗氧化
18,与身体周期
19,晚一天衰老
20,的瘦身对话
21,时尚是一门
22,特别企划
23,古怪的生意
24,世纪女性最重要的克争力
25,36小e身日记
26,时尚杂志2007第14期期
27,155N1005-1988
28,全球移动力
29,www .cosmo.trends.com.cn
30,971003198009
31,号-3国内一刊号定价:￥20Ms30
32,32
0,COSMOPOLITAN 
1,NOVEMBER 20 
2,人的要多少个平方米?
3,情明女人
4,购房经
5,宝典
6,男人观
7,大
8,时尚潮流
9,说了算
10,期
11,分手
12,200COSMO 时尚性评选隆重
13,免不晚?
14,就
15,尚网
16,ENDS .COM.CN
17,17
0,NOVEMBER 2007 
1,月号邮发代号:46199
2,宋乔
3,灰姑娘的坚
4,女人的心需要多少个平方米?
5,安妮海瑟
6,精明女人
7,购房经
8,1典
9,男人观
10,大
11,时尚潮流
12,谁说了算
13,冷期
14,特别企划
15,分手
16,200COSMO 时尚女选隆重启动!
17,晚不晚?
18,2总
19,155N1005-1988
20,女性成就
21,www .cosmo
22,華流
23,71005198009
24,s10-国际标准kbs co kr/kinocin 
25,25
0,COS 
1,TAN 
2,200
3,用代
4,我的幸福你看见
5,张柏芝产后
6,湖阿
7,独家曝光
8,中国版性和录
9,发家
10,老外网络传播
11,中国女友裸照的思考
12,派对
13,制造明星
14,揭秘身体
15,衰老排行榜
16,巴黎秀场
17,潮人装密报
18,活
19,谈心比做爱奢侈
20,時
21,2008年最值得
22,TREND 
23,期待的事
24,.cosmo.trends.
25,25
0,便携本优惠价
1,15
2,JANUARY 2007 
3,合作
4,周杰伦
5,邮代号499
6,刘烨
7,网上大调
8,年轻的救赎
9,名导演
10,和他们的
11,才能成为女人?
12,X女郎
13,男郎
14,巩俐
15,蜕下金甲”
16,做女人
17,12
18,款针织衫
19,你的美容智商
20,有多高?
21,Oice女郎
22,超级明星
23,瘦身菜单
24,时尚中国力
25,女人穿衣新姿态
26,吴淡如
27,8大品牌
28,生活的12个关键词
29,做个好命女
30,时尚志2007年第01期总
31,ISSN1005-1988
32,集体闷骚
33,www .trends.com.cn
34,9771005198009
35,0-国际标准号1-20(国内一号定价:￥20K30
36,36
0,FCOS 
1,2007 
2,07
3,品牌
4,时
5,发
6,马
7,时
8,中式美容红
9,"女人,"
10,希望你这样
11,来爱我
12,122321
13,位优质男人
14,真假情人节
15,女的公开情书
16,把的
17,艳遇一座城
18,时尚速度
19,催情美食
20,20
0,尔特拉罗西尼
1,大公司而试
2,汪油
3,公子
4,技巧公
5,享受调情不动情
6,希拉能拯救谁
7,美
8,的
9,抢鲜报
10,时装的虚荣尺寸
11,衣装打造美腿
12,春夏妆轻上
13,我们都是职业的副产品?
14,的人
15,m
16,是
17,a
18,So 
19,19
0,寺COS
1,APRIL 2007 
2,本刊与美国
3,《COSMOPOLITAN 》
4,版权合作
5,封面女郎
6,林志玲:娱乐赢女
7,4月号邮发代号:46-199
8,关锦鹏
9,真
10,首次与时尚对话
11,不一次
12,于丹:人生是
13,场美
14,婚姻猎头
15,找优质男友3万元高价雇猎头
16,闪闪春夏装+妆
17,大龄美女
18,人人都为时尚
19,减岁妆
20,犯了5个错
21,抹就丰唇
22,5招验明真伪情人
23,cosm独家发布
24,打造职场智囊团
25,影响你指数的
26,时尚杂志2007年第04期总第247期
27,8
28,ISSN1005-1988
29,个快乐公式!
30,.trends.com.cn
31,9771005198009
32,号)定价:￥20HK$30
33,33
0,COS 
1,TAN 
2,时
3,混之人
4,代
5,陈母乐
6,女人就该
7,有好有坏
8,延长职业黄金
9,100
10,性感人夏
11,点
12,王朔时尚原子
13,7
14,生育圣经
15,15
0,时
1,20
2,预未
3,代
4,创意美
5,璩美风:
6,爱
7,的涅槃
8,你是
9,魅力海岸身迷泳装
10,6人
11,6种身材选
12,你必
13,的件
14,型
15,)放
16,社会来了
17,再没有的
18,条热夏
19,热夏
20,想掉下身
21,潮流
22,22
0,COS 
1,UTAN 
2,Y200
3,选
4,打造中娱乐盛安
5,名
6,爱名利
7,老力
8,R
9,时药o解药
10,个时尚人中
11,是场艳遇
12,的香港10年
13,诱惑人们不想
14,己的
15,15
0,時C
1,LTAN 
2,AUGUST 2007 
3,尚
4,本刊与美国
5,《COSMOPOLTAN 
6,版权合作
7,OSMO 
8,纪念刊特别策划
9,100个单身
10,8月号邮发代号:46-199
11,精英等你约
12,独家专访
13,《欲望城市》编剧LiZ Tuccillo 
14,巩俐
15,我的内心是世界的
16,我不是男人们
17,莎朗斯通
18,放弃对完美的追求
19,的一面魔镜
20,女人是否应该速熟?
21,OSMO 
22,纪念刊特别策划
23,生必去的
24,时尚疯人
25,家SA
26,22个
27,全球美丽调
28,100
29,流行新品
30,纪念刊特别策划
31,秋冬时装换季导航
32,CSMO精明心得
33,美容编辑最爱的美妆品
34,救赎
35,叶装编辑换季购衣大揭秘
36,时尚杂志2007年第11期总第253期
37,亲历世界
38,IN1005-1988
39,5
40,孔夫旧
41,www ..comn/
42,100标213327/G(国
43,G(国内统一刊定价:￥20hK3
44,44
0,C
1,2007 
2,本国
3,)
4,合作
5,赵
6,9月号发代
7,夜成名十年长大
8,艾薇儿
9,真正的
10,名利场上
11,从来只有一个
12,没有真相
13,蒂娜·布朗新
14,《戴安娜》幕后是1
15,和职业一起成长
16,高端女人性压抑?
17,70
18,款秋冬
19,必备配饰
20,欢迎来到
21,塑身内衣管得
22,无龄时代
23,住脂肪吗?
24,客座总编辑精彩启动
25,街头直击23个
26,着装“坏”品位
27,全球最热话题
28,大家都来穿艺术
29,尚志200年期期
30,心灵环保
31,155N1005-188
32,你去过环保超市吗?24个心呼吸方式
33,www .cosmo.trends.com.cn
34,i国内统一刊号定价:￥20Ks30
35,35
0,時
1,OCTOBER2008 
2,本刊与美国
3,COSMOPOLITAN 
4,版权合作
5,李冰冰:
6,快乐在自和己之间
7,徐克:
8,坏女人是
9,好男人的补药
10,10月号邮发代号46-199
11,安吉丽娜朱莉:
12,独家策划全球联动
13,"孩子和爱情,"
14,让我脱胎换骨!
15,10位女政要
16,给OSO读者的信
17,ONE 
18,一件式新冬装
19,坏女孩性爱典
20,秋冬大热潮流配饰
21,你有能力做
22,华
23,情场玩家吗?
24,你是什么牌子的人
25,9个乳房真相
26,以非主流的
27,姿态主流
28,时尚杂志2008年第15期总第276期
29,iss1005-1988
30,15
31,Have To Be Out To 
32,9771005198009
33,ss1005-198(国际标准刊号CN1-3327/(国内统一刊号定价:￥20hK3
34,34
0,DECEMBER 2008 
1,本刊与美国
2,版权合作
3,凯特·温斯莱特:
4,我终于“嫁
5,给莱昂纳多
6,12月号邮发代号46-199
7,时尚最后的底线
8,了、黎明
9,身兼顾
10,情爱《梅兰芳》
11,日晚装
12,张艾嘉
13,女人需要知性+兽性
14,摩登演绎宫廷风
15,一流女嫁老小
16,年妆购买计划
17,热爆2009
18,排毒食物
19,春夏时装周
20,精明吃
21,COSMO 全球盘点
22,100个最火辣两性
23,O &A
24,时尚杂志2008年第18期总第279期
25,issN1005-1988
26,梦想
27,18
28,www .cosmotrends.com.cn
29,9771005198009
30,o @
31,号C-3327G国内统一刊号定价:￥2
32,32
0,时
1,COS 
2,JANUARY 2008 
3,本刊与美国
4,COSMOPOLITAN 》
5,版权合作
6,Jssica 
7,女人应该学会享受性
8,1月号邮发代号:46-199
9,窥视男人
